Date (GMT -3);Load (KW);Irradiation (W/m2);PV generation base (100kW);P [W];PV [W];Monat
2024-01-01 00:00:00;352,49;0,0;-0,005;352486,7249;0,0;2024-01
2024-01-01 01:00:00;349,51;0,0;-0,005;349512,085;0,0;2024-01
2024-01-01 02:00:00;352,91;0,0;-0,005;352914,032;0,0;2024-01
2024-01-01 03:00:00;369,35;0,0;-0,005;369349,5941;0,0;2024-01
2024-01-01 04:00:00;340,81;0,0;-0,005;340809,0134;0,0;2024-01
2024-01-01 05:00:00;297,33;0,0;-0,005;297325,0656;0,0;2024-01
2024-01-01 06:00:00;281,78;15,303;0,9979;281783,2489;997,9;2024-01
2024-01-01 07:00:00;287,17;198,29;15,931;287174,1714;15931,0;2024-01
2024-01-01 08:00:00;292,65;411,76;36,743;292654,2969;36743,0;2024-01
2024-01-01 09:00:00;291,38;612,58;54,797;291378,0441;54797,0;2024-01
2024-01-01 10:00:00;290,33;780,77;68,037;290326,4313;68037,0;2024-01
2024-01-01 11:00:00;290,74;866,91;74,32;290742,9657;74320,0;2024-01
2024-01-01 12:00:00;323,37;881,99;75,024;323365,6311;75024,0;2024-01
2024-01-01 13:00:00;303,34;831,94;71,295;303337,41;71295,0;2024-01
2024-01-01 14:00:00;288,48;713,2;62,101;288482,6279;62101,0;2024-01
2024-01-01 15:00:00;278,24;541,48;47,895;278236,8698;47895,0;2024-01
2024-01-01 16:00:00;290,75;338,42;29,145;290745,8229;29145,0;2024-01
2024-01-01 17:00:00;364,75;125,16;8,6682;364754,0131;8668,2;2024-01
2024-01-01 18:00:00;363,94;0,0;-0,005;363941,0095;0,0;2024-01
2024-01-01 19:00:00;351,38;0,0;-0,005;351379,8294;0,0;2024-01
2024-01-01 20:00:00;344,13;0,0;-0,005;344127,1133;0,0;2024-01
2024-01-01 21:00:00;342,21;0,0;-0,005;342212,4634;0,0;2024-01
2024-01-01 22:00:00;341,99;0,0;-0,005;341988,7314;0,0;2024-01
2024-01-01 23:00:00;325,17;0,0;-0,005;325169,0903;0,0;2024-01
2024-01-02 00:00:00;320,49;0,0;-0,005;320485,4889;0,0;2024-01
2024-01-02 01:00:00;338,67;0,0;-0,005;338665,5502;0,0;2024-01
2024-01-02 02:00:00;342,29;0,0;-0,005;342294,0598;0,0;2024-01
2024-01-02 03:00:00;346,72;0,0;-0,005;346723,9227;0,0;2024-01
2024-01-02 04:00:00;170,61;0,0;-0,005;170611,8698;0,0;2024-01
2024-01-02 05:00:00;0,0;0,0;-0,005;0,0;0,0;2024-01
2024-01-02 06:00:00;189,13;13,949;0,8767;189128,2921;876,7;2024-01
2024-01-02 07:00:00;187,64;249,42;20,143;187637,7983;20143,0;2024-01
2024-01-02 08:00:00;197,69;520,26;45,839;197686,0924;45839,0;2024-01
2024-01-02 09:00:00;200,4;767,57;67,085;200403,3508;67085,0;2024-01
2024-01-02 10:00:00;217,6;973,61;81,336;217602,9167;81336,0;2024-01
2024-01-02 11:00:00;225,07;481,34;43,427;225072,3877;43427,0;2024-01
2024-01-02 12:00:00;221,76;471,83;42,412;221763,9465;42412,0;2024-01
2024-01-02 13:00:00;211,21;339,93;30,726;211210,8002;30726,0;2024-01
2024-01-02 14:00:00;229,24;304,67;27,599;229237,6671;27599,0;2024-01
2024-01-02 15:00:00;216,41;251,99;22,838;216409,1415;22838,0;2024-01
2024-01-02 16:00:00;243,38;131,16;11,683;243375,0839;11683,0;2024-01
2024-01-02 17:00:00;280,9;43,57;3,5606;280903,511;3560,6;2024-01
2024-01-02 18:00:00;289,67;0,0;-0,005;289672,8134;0,0;2024-01
2024-01-02 19:00:00;301,32;0,0;-0,005;301320,9763;0,0;2024-01
2024-01-02 20:00:00;302,63;0,0;-0,005;302631,6528;0,0;2024-01
2024-01-02 21:00:00;296,39;0,0;-0,005;296388,7711;0,0;2024-01
2024-01-02 22:00:00;294,53;0,0;-0,005;294532,2495;0,0;2024-01
2024-01-02 23:00:00;292,99;0,0;-0,005;292992,2562;0,0;2024-01
2024-01-03 00:00:00;295,81;0,0;-0,005;295807,1518;0,0;2024-01
2024-01-03 01:00:00;321,78;0,0;-0,005;321777,0081;0,0;2024-01
2024-01-03 02:00:00;312,42;0,0;-0,005;312421,3867;0,0;2024-01
2024-01-03 03:00:00;313,88;0,0;-0,005;313879,7836;0,0;2024-01
2024-01-03 04:00:00;272,63;0,0;-0,005;272629,776;0,0;2024-01
2024-01-03 05:00:00;240,89;0,0;-0,005;240889,8621;0,0;2024-01
2024-01-03 06:00:00;238,41;13,844;0,872;238414,3753;872,0;2024-01
2024-01-03 07:00:00;248,63;215,33;17,209;248634,922;17209,0;2024-01
2024-01-03 08:00:00;260,4;444,68;39,637;260396,0571;39637,0;2024-01
2024-01-03 09:00:00;259,26;659,53;58,853;259261,4479;58853,0;2024-01
2024-01-03 10:00:00;260,0;827,76;71,751;260001,1139;71751,0;2024-01
2024-01-03 11:00:00;292,96;931,44;78,829;292956,6193;78829,0;2024-01
2024-01-03 12:00:00;297,28;961,92;80,493;297279,4724;80493,0;2024-01
2024-01-03 13:00:00;310,56;919,99;77,442;310559,5245;77442,0;2024-01
2024-01-03 14:00:00;294,93;806,59;69,294;294934,761;69294,0;2024-01
2024-01-03 15:00:00;289,97;623,18;54,667;289969,7952;54667,0;2024-01
2024-01-03 16:00:00;352,99;394,75;33,714;352991,9815;33714,0;2024-01
2024-01-03 17:00:00;382,12;153,26;10,041;382115,6158;10041,0;2024-01
2024-01-03 18:00:00;390,49;0,0;-0,005;390490,1199;0,0;2024-01
2024-01-03 19:00:00;391,37;0,0;-0,005;391370,636;0,0;2024-01
2024-01-03 20:00:00;380,74;0,0;-0,005;380736,0077;0,0;2024-01
2024-01-03 21:00:00;379,61;0,0;-0,005;379612,0834;0,0;2024-01
2024-01-03 22:00:00;371,07;0,0;-0,005;371072,4716;0,0;2024-01
2024-01-03 23:00:00;364,5;0,0;-0,005;364497,3373;0,0;2024-01
2024-01-04 00:00:00;357,99;0,0;-0,005;357987,6404;0,0;2024-01
2024-01-04 01:00:00;369,93;0,0;-0,005;369926,1169;0,0;2024-01
2024-01-04 02:00:00;383,48;0,0;-0,005;383480,3543;0,0;2024-01
2024-01-04 03:00:00;369,14;0,0;-0,005;369138,7711;0,0;2024-01
2024-01-04 04:00:00;297,5;0,0;-0,005;297501,1368;0,0;2024-01
2024-01-04 05:00:00;289,04;0,0;-0,005;289040,7104;0,0;2024-01
2024-01-04 06:00:00;302,94;13,843;0,8776;302937,9883;877,6;2024-01
2024-01-04 07:00:00;301,63;231,03;18,774;301633,0261;18774,0;2024-01
2024-01-04 08:00:00;307,4;474,2;42,438;307395,2026;42438,0;2024-01
2024-01-04 09:00:00;296,04;706,33;63,119;296037,6968;63119,0;2024-01
2024-01-04 10:00:00;302,58;883,12;76,517;302584,3964;76517,0;2024-01
2024-01-04 11:00:00;339,22;986,33;83,299;339217,3309;83299,0;2024-01
2024-01-04 12:00:00;338,87;1009,6;84,339;338869,7128;84339,0;2024-01
2024-01-04 13:00:00;314,92;961,84;80,999;314924,4995;80999,0;2024-01
2024-01-04 14:00:00;315,5;833,02;71,867;315500,5188;71867,0;2024-01
2024-01-04 15:00:00;295,18;637,82;56,349;295179,3289;56349,0;2024-01
2024-01-04 16:00:00;335,19;395,53;34,131;335186,2564;34131,0;2024-01
2024-01-04 17:00:00;353,09;148,12;9,8319;353086,113;9831,9;2024-01
2024-01-04 18:00:00;364,29;0,0;-0,005;364293,1824;0,0;2024-01
2024-01-04 19:00:00;363,69;0,0;-0,005;363689,7964;0,0;2024-01
2024-01-04 20:00:00;357,8;0,0;-0,005;357802,9099;0,0;2024-01
2024-01-04 21:00:00;350,25;0,0;-0,005;350252,037;0,0;2024-01
2024-01-04 22:00:00;339,27;0,0;-0,005;339268,3945;0,0;2024-01
2024-01-04 23:00:00;335,16;0,0;-0,005;335157,6157;0,0;2024-01
2024-01-05 00:00:00;327,66;0,0;-0,005;327664,772;0,0;2024-01
2024-01-05 01:00:00;333,2;0,0;-0,005;333204,8798;0,0;2024-01
2024-01-05 02:00:00;340,06;0,0;-0,005;340059,7992;0,0;2024-01
2024-01-05 03:00:00;347,13;0,0;-0,005;347129,8141;0,0;2024-01
2024-01-05 04:00:00;278,55;0,0;-0,005;278554,882;0,0;2024-01
2024-01-05 05:00:00;269,83;0,0;-0,005;269828,1708;0,0;2024-01
2024-01-05 06:00:00;269,66;9,6268;0,5;269663,62;500,0;2024-01
2024-01-05 07:00:00;256,57;89,581;7,9004;256565,7196;7900,4;2024-01
2024-01-05 08:00:00;282,67;172,06;15,723;282669,4031;15723,0;2024-01
2024-01-05 09:00:00;263,56;299,74;27,64;263563,8733;27640,0;2024-01
2024-01-05 10:00:00;277,61;607,95;55,053;277607,9788;55053,0;2024-01
2024-01-05 11:00:00;296,86;969,32;82,796;296855,751;82796,0;2024-01
2024-01-05 12:00:00;310,22;1027,5;85,74;310217,3004;85740,0;2024-01
2024-01-05 13:00:00;301,58;609,91;54,374;301583,8013;54374,0;2024-01
2024-01-05 14:00:00;311,02;358,46;32,512;311017,0593;32512,0;2024-01
2024-01-05 15:00:00;276,56;51,148;4,2219;276564,7659;4221,9;2024-01
2024-01-05 16:00:00;289,88;152,33;13,688;289877,0981;13688,0;2024-01
2024-01-05 17:00:00;342,91;88,058;7,509;342905,014;7509,0;2024-01
2024-01-05 18:00:00;342,56;0,0;-0,005;342557,2433;0,0;2024-01
2024-01-05 19:00:00;346,48;0,0;-0,005;346475,7843;0,0;2024-01
2024-01-05 20:00:00;340,5;0,0;-0,005;340504,0054;0,0;2024-01
2024-01-05 21:00:00;338,59;0,0;-0,005;338594,8868;0,0;2024-01
2024-01-05 22:00:00;326,5;0,0;-0,005;326504,4632;0,0;2024-01
2024-01-05 23:00:00;322,85;0,0;-0,005;322848,4116;0,0;2024-01
2024-01-06 00:00:00;318,54;0,0;-0,005;318544,8227;0,0;2024-01
2024-01-06 01:00:00;326,12;0,0;-0,005;326120,5673;0,0;2024-01
2024-01-06 02:00:00;331,12;0,0;-0,005;331117,1951;0,0;2024-01
2024-01-06 03:00:00;327,65;0,0;-0,005;327648,7045;0,0;2024-01
2024-01-06 04:00:00;267,36;0,0;-0,005;267355,999;0,0;2024-01
2024-01-06 05:00:00;270,04;0,0;-0,005;270042,8009;0,0;2024-01
2024-01-06 06:00:00;243,94;12,776;0,7841;243937,2559;784,1;2024-01
2024-01-06 07:00:00;249,02;195,11;15,107;249017,3912;15107,0;2024-01
2024-01-06 08:00:00;255,08;426,0;38,394;255076,4618;38394,0;2024-01
2024-01-06 09:00:00;263,63;640,11;57,887;263628,4943;57887,0;2024-01
2024-01-06 10:00:00;263,75;809,09;71,235;263748,1308;71235,0;2024-01
2024-01-06 11:00:00;279,52;908,07;78,382;279522,1329;78382,0;2024-01
2024-01-06 12:00:00;301,3;940,21;80,395;301296,6156;80395,0;2024-01
2024-01-06 13:00:00;304,29;887,02;76,263;304291,8472;76263,0;2024-01
2024-01-06 14:00:00;286,55;777,64;67,878;286550,8118;67878,0;2024-01
2024-01-06 15:00:00;273,51;594,94;52,99;273509,1248;52990,0;2024-01
2024-01-06 16:00:00;344,97;369,95;32,188;344967,7582;32188,0;2024-01
2024-01-06 17:00:00;365,25;140,9;9,7373;365247,6501;9737,3;2024-01
2024-01-06 18:00:00;381,24;0,0;-0,005;381239,3036;0,0;2024-01
2024-01-06 19:00:00;375,01;0,0;-0,005;375014,0152;0,0;2024-01
2024-01-06 20:00:00;357,55;0,0;-0,005;357552,1011;0,0;2024-01
2024-01-06 21:00:00;344,95;0,0;-0,005;344946,1975;0,0;2024-01
2024-01-06 22:00:00;336,98;0,0;-0,005;336982,8339;0,0;2024-01
2024-01-06 23:00:00;331,03;0,0;-0,005;331027,2751;0,0;2024-01
2024-01-07 00:00:00;324,52;0,0;-0,005;324515,7318;0,0;2024-01
2024-01-07 01:00:00;322,49;0,0;-0,005;322486,557;0,0;2024-01
2024-01-07 02:00:00;351,26;0,0;-0,005;351261,4899;0,0;2024-01
2024-01-07 03:00:00;343,7;0,0;-0,005;343696,0373;0,0;2024-01
2024-01-07 04:00:00;296,09;0,0;-0,005;296094,3909;0,0;2024-01
2024-01-07 05:00:00;262,47;0,0;-0,005;262474,5522;0,0;2024-01
2024-01-07 06:00:00;245,83;12,48;0,7571;245833,0002;757,1;2024-01
2024-01-07 07:00:00;248,32;192,06;14,9;248317,7376;14900,0;2024-01
2024-01-07 08:00:00;265,25;415,25;37,45;265248,9548;37450,0;2024-01
2024-01-07 09:00:00;248,95;625,82;56,679;248950,4204;56679,0;2024-01
2024-01-07 10:00:00;243,33;783,89;69,244;243326,8967;69244,0;2024-01
2024-01-07 11:00:00;265,0;890,47;77,077;265001,2703;77077,0;2024-01
2024-01-07 12:00:00;283,22;913,95;78,47;283217,3233;78470,0;2024-01
2024-01-07 13:00:00;282,08;867,23;74,78;282081,4438;74780,0;2024-01
2024-01-07 14:00:00;256,17;752,01;65,829;256170,1164;65829,0;2024-01
2024-01-07 15:00:00;261,84;583,67;52,028;261844,944;52028,0;2024-01
2024-01-07 16:00:00;300,8;368,27;32,05;300796,5698;32050,0;2024-01
2024-01-07 17:00:00;348,42;143,47;9,9736;348421,0968;9973,6;2024-01
2024-01-07 18:00:00;350,69;0,0;-0,005;350686,9659;0,0;2024-01
2024-01-07 19:00:00;347,9;0,0;-0,005;347904,7165;0,0;2024-01
2024-01-07 20:00:00;341,64;0,0;-0,005;341642,3569;0,0;2024-01
2024-01-07 21:00:00;337,42;0,0;-0,005;337419,7235;0,0;2024-01
2024-01-07 22:00:00;337,04;0,0;-0,005;337039,6423;0,0;2024-01
2024-01-07 23:00:00;331,13;0,0;-0,005;331128,5095;0,0;2024-01
2024-01-08 00:00:00;328,39;0,0;-0,005;328394,8059;0,0;2024-01
2024-01-08 01:00:00;330,34;0,0;-0,005;330343,7653;0,0;2024-01
2024-01-08 02:00:00;348,46;0,0;-0,005;348460,0143;0,0;2024-01
2024-01-08 03:00:00;343,77;0,0;-0,005;343769,7906;0,0;2024-01
2024-01-08 04:00:00;308,12;0,0;-0,005;308120,3384;0,0;2024-01
2024-01-08 05:00:00;271,54;0,0;-0,005;271544,1704;0,0;2024-01
2024-01-08 06:00:00;263,84;12,673;0,7706;263841,6519;770,6;2024-01
2024-01-08 07:00:00;248,9;154,63;13,237;248895,5269;13237,0;2024-01
2024-01-08 08:00:00;249,7;319,62;29,199;249696,9452;29199,0;2024-01
2024-01-08 09:00:00;256,83;518,96;47,42;256828,8765;47420,0;2024-01
2024-01-08 10:00:00;264,5;591,17;53,538;264496,2616;53538,0;2024-01
2024-01-08 11:00:00;275,48;550,7;49,97;275479,7745;49970,0;2024-01
2024-01-08 12:00:00;267,14;628,23;56,387;267143,1885;56387,0;2024-01
2024-01-08 13:00:00;260,97;624,76;56,12;260971,9925;56120,0;2024-01
2024-01-08 14:00:00;254,19;555,57;50,021;254186,409;50021,0;2024-01
2024-01-08 15:00:00;251,44;393,6;35,825;251444,2444;35825,0;2024-01
2024-01-08 16:00:00;299,41;345,63;30,611;299406,5857;30611,0;2024-01
2024-01-08 17:00:00;354,79;189,1;14,1;354793,4113;14100,0;2024-01
2024-01-08 18:00:00;360,15;7,4733;0,2889;360154,8691;288,9;2024-01
2024-01-08 19:00:00;348,71;0,0;-0,005;348712,4023;0,0;2024-01
2024-01-08 20:00:00;344,62;0,0;-0,005;344616,3864;0,0;2024-01
2024-01-08 21:00:00;338,05;0,0;-0,005;338049,6979;0,0;2024-01
2024-01-08 22:00:00;332,11;0,0;-0,005;332113,1516;0,0;2024-01
2024-01-08 23:00:00;325,74;0,0;-0,005;325742,1951;0,0;2024-01
2024-01-09 00:00:00;321,99;0,0;-0,005;321990,5548;0,0;2024-01
2024-01-09 01:00:00;331,1;0,0;-0,005;331096,8323;0,0;2024-01
2024-01-09 02:00:00;334,95;0,0;-0,005;334948,7839;0,0;2024-01
2024-01-09 03:00:00;344,35;0,0;-0,005;344349,2508;0,0;2024-01
2024-01-09 04:00:00;293,67;0,0;-0,005;293672,3175;0,0;2024-01
2024-01-09 05:00:00;257,67;0,0;-0,005;257671,9437;0,0;2024-01
2024-01-09 06:00:00;260,34;14,609;0,9479;260344,9326;947,9;2024-01
2024-01-09 07:00:00;250,31;158,39;13,231;250305,5878;13231,0;2024-01
2024-01-09 08:00:00;247,16;272,72;25,086;247159,1301;25086,0;2024-01
2024-01-09 09:00:00;254,15;380,52;35,166;254154,3808;35166,0;2024-01
2024-01-09 10:00:00;266,79;458,62;42,12;266791,2521;42120,0;2024-01
2024-01-09 11:00:00;297,38;601,84;54,59;297381,5308;54590,0;2024-01
2024-01-09 12:00:00;306,93;586,3;53,165;306933,6014;53165,0;2024-01
2024-01-09 13:00:00;307,72;812,11;71,492;307716,8503;71492,0;2024-01
2024-01-09 14:00:00;287,58;758,44;66,917;287581,3675;66917,0;2024-01
2024-01-09 15:00:00;290,21;667,96;59,317;290210,6247;59317,0;2024-01
2024-01-09 16:00:00;324,95;465,77;40,456;324945,7779;40456,0;2024-01
2024-01-09 17:00:00;344,24;183,02;12,703;344240,7455;12703,0;2024-01
2024-01-09 18:00:00;347,86;9,9376;0,5042;347860,0159;504,2;2024-01
2024-01-09 19:00:00;348,06;0,0;-0,005;348064,2014;0,0;2024-01
2024-01-09 20:00:00;341,66;0,0;-0,005;341660,7285;0,0;2024-01
2024-01-09 21:00:00;339,87;0,0;-0,005;339868,2709;0,0;2024-01
2024-01-09 22:00:00;330,0;0,0;-0,005;330004,8828;0,0;2024-01
2024-01-09 23:00:00;326,94;0,0;-0,005;326943,3517;0,0;2024-01
2024-01-10 00:00:00;317,88;0,0;-0,005;317875,7477;0,0;2024-01
2024-01-10 01:00:00;324,57;0,0;-0,005;324571,0754;0,0;2024-01
2024-01-10 02:00:00;329,49;0,0;-0,005;329486,5646;0,0;2024-01
2024-01-10 03:00:00;336,49;0,0;-0,005;336487,3505;0,0;2024-01
