Date (GMT -3);Load (KW);Irradiation (W/m2);PV generation base (100kW);P [W];PV [W]
01.01.2024 00:00;352,49;0;-0,005;352486,7249;0
01.01.2024 01:00;349,51;0;-0,005;349512,085;0
01.01.2024 02:00;352,91;0;-0,005;352914,032;0
01.01.2024 03:00;369,35;0;-0,005;369349,5941;0
01.01.2024 04:00;340,81;0;-0,005;340809,0134;0
01.01.2024 05:00;297,33;0;-0,005;297325,0656;0
01.01.2024 06:00;281,78;15,303;0,9979;281783,2489;23005,24895
01.01.2024 07:00;287,17;198,29;15,931;287174,1714;34806,08856
01.01.2024 08:00;292,65;411,76;36,743;292654,2969;57088,52566
01.01.2024 09:00;291,38;612,58;54,797;291378,0441;62661,23604
01.01.2024 10:00;290,33;780,77;68,037;290326,4313;68489,58401
01.01.2024 11:00;290,74;866,91;74,32;290742,9657;67816,19959
01.01.2024 12:00;323,37;881,99;75,024;323365,6311;59821,39082
01.01.2024 13:00;303,34;831,94;71,295;303337,41;46420,54637
01.01.2024 14:00;288,48;713,2;62,101;288482,6279;32485,6157
01.01.2024 15:00;278,24;541,48;47,895;278236,8698;19042,71889
01.01.2024 16:00;290,75;338,42;29,145;290745,8229;5328,567193
01.01.2024 17:00;364,75;125,16;8,6682;364754,0131;0
01.01.2024 18:00;363,94;0;-0,005;363941,0095;0
01.01.2024 19:00;351,38;0;-0,005;351379,8294;0
01.01.2024 20:00;344,13;0;-0,005;344127,1133;0
01.01.2024 21:00;342,21;0;-0,005;342212,4634;0
01.01.2024 22:00;341,99;0;-0,005;341988,7314;0
01.01.2024 23:00;325,17;0;-0,005;325169,0903;0
02.01.2024 00:00;320,49;0;-0,005;320485,4889;0
02.01.2024 01:00;338,67;0;-0,005;338665,5502;0
02.01.2024 02:00;342,29;0;-0,005;342294,0598;0
02.01.2024 03:00;346,72;0;-0,005;346723,9227;0
02.01.2024 04:00;170,61;0;-0,005;170611,8698;0
02.01.2024 05:00;0;0;-0,005;0;0
02.01.2024 06:00;189,13;13,949;0,8767;189128,2921;10382,02494
02.01.2024 07:00;187,64;249,42;20,143;187637,7983;24234,07257
02.01.2024 08:00;197,69;520,26;45,839;197686,0924;40766,17971
02.01.2024 09:00;200,4;767,57;67,085;200403,3508;55830,54362
02.01.2024 10:00;217,6;973,61;81,336;217602,9167;59083,0849
02.01.2024 11:00;225,07;481,34;43,427;225072,3877;57580,1158
02.01.2024 12:00;221,76;471,83;42,412;221763,9465;55745,50719
02.01.2024 13:00;211,21;339,93;30,726;211210,8002;43638,33531
