time;P [W]
05.12.2022 00:00;200
05.12.2022 00:01;320
05.12.2022 00:02;1943
05.12.2022 00:03;2120
05.12.2022 00:04;2120
05.12.2022 00:05;3199
05.12.2022 00:06;3920
05.12.2022 00:07;5383
05.12.2022 00:08;8856
05.12.2022 00:09;8945
05.12.2022 00:10;10658
05.12.2022 00:11;9182
05.12.2022 00:12;11378
05.12.2022 00:13;12761
05.12.2022 00:14;11248
05.12.2022 00:15;7240
05.12.2022 00:16;9014
05.12.2022 00:17;8456
05.12.2022 00:18;9021
05.12.2022 00:19;11611
05.12.2022 00:20;8690
05.12.2022 00:21;9701
05.12.2022 00:22;6235
05.12.2022 00:23;10451
05.12.2022 00:24;10949
05.12.2022 00:25;10831
05.12.2022 00:26;12956
05.12.2022 00:27;9051
05.12.2022 00:28;9097
05.12.2022 00:29;9479
05.12.2022 00:30;11118
05.12.2022 00:31;10110
05.12.2022 00:32;13429
05.12.2022 00:33;12194
05.12.2022 00:34;11601
05.12.2022 00:35;5426
05.12.2022 00:36;7807
05.12.2022 00:37;7582
05.12.2022 00:38;7941
05.12.2022 00:39;5533
05.12.2022 00:40;4997
05.12.2022 00:41;5693
05.12.2022 00:42;3382
05.12.2022 00:43;7351
05.12.2022 00:44;6167
05.12.2022 00:45;8884
05.12.2022 00:46;11100
05.12.2022 00:47;12430
05.12.2022 00:48;11837
05.12.2022 00:49;10625
05.12.2022 00:50;10341
05.12.2022 00:51;11722
05.12.2022 00:52;13989
05.12.2022 00:53;12304
05.12.2022 00:54;11964
05.12.2022 00:55;9275
05.12.2022 00:56;8767
05.12.2022 00:57;7078
05.12.2022 00:58;9033
05.12.2022 00:59;9046
05.12.2022 01:00;8812
05.12.2022 01:01;9314
05.12.2022 01:02;8989
05.12.2022 01:03;5137
05.12.2022 01:04;7010
05.12.2022 01:05;9095
05.12.2022 01:06;11089
05.12.2022 01:07;11819
05.12.2022 01:08;11422
05.12.2022 01:09;9022
05.12.2022 01:10;7794
05.12.2022 01:11;10350
05.12.2022 01:12;14007
05.12.2022 01:13;12273
05.12.2022 01:14;10808
05.12.2022 01:15;10931
05.12.2022 01:16;12954
05.12.2022 01:17;14675
05.12.2022 01:18;8602
05.12.2022 01:19;8962
05.12.2022 01:20;7262
05.12.2022 01:21;5210
05.12.2022 01:22;4290
05.12.2022 01:23;7290
05.12.2022 01:24;7408
05.12.2022 01:25;7492
05.12.2022 01:26;7578
05.12.2022 01:27;9135
05.12.2022 01:28;8493
05.12.2022 01:29;9705
05.12.2022 01:30;7258
05.12.2022 01:31;6628
05.12.2022 01:32;9559
05.12.2022 01:33;6390
05.12.2022 01:34;6360
05.12.2022 01:35;6719
05.12.2022 01:36;6362
05.12.2022 01:37;10686
05.12.2022 01:38;10710
05.12.2022 01:39;11651
05.12.2022 01:40;11945
05.12.2022 01:41;12523
05.12.2022 01:42;12400
05.12.2022 01:43;10994
05.12.2022 01:44;9691
05.12.2022 01:45;13282
05.12.2022 01:46;12632
05.12.2022 01:47;10383
05.12.2022 01:48;12597
05.12.2022 01:49;11601
05.12.2022 01:50;9923
05.12.2022 01:51;9590
05.12.2022 01:52;6896
05.12.2022 01:53;8716
05.12.2022 01:54;5713
05.12.2022 01:55;6671
05.12.2022 01:56;6854
05.12.2022 01:57;7548
05.12.2022 01:58;9001
05.12.2022 01:59;8718
05.12.2022 02:00;8774
05.12.2022 02:01;10574
05.12.2022 02:02;10663
05.12.2022 02:03;12330
05.12.2022 02:04;11083
05.12.2022 02:05;10761
05.12.2022 02:06;11075
05.12.2022 02:07;8976
05.12.2022 02:08;7284
05.12.2022 02:09;3588
05.12.2022 02:10;3694
05.12.2022 02:11;3717
