time;Percentage [P/P_max]
00:00;0,323958333
00:15;0,3125
00:30;0,30014881
00:45;0,287202381
01:00;0,275297619
01:15;0,264880952
01:30;0,25639881
01:45;0,249255952
02:00;0,243303571
02:15;0,238541667
02:30;0,234821429
02:45;0,232142857
03:00;0,230952381
03:15;0,230803571
03:30;0,232886905
03:45;0,238244048
04:00;0,247470238
04:15;0,261011905
04:30;0,276636905
04:45;0,292261905
05:00;0,304464286
05:15;0,311904762
05:30;0,315922619
05:45;0,318452381
06:00;0,322470238
06:15;0,329910714
06:30;0,341517857
06:45;0,358184524
07:00;0,38110119
07:15;0,410863095
07:30;0,450595238
07:45;0,503125
08:00;0,649403692
08:15;0,769237053
08:30;0,828255473
08:45;0,879936809
09:00;0,919882645
09:15;0,940194087
09:30;0,945384789
09:45;0,943127962
10:00;0,941773866
10:15;0,946964568
10:30;0,957571654
10:45;0,970209885
11:00;0,981268336
11:15;0,988715865
11:30;0,992552471
11:45;0,994809298
12:00;0,996389077
12:15;0,998420221
12:30;1
12:45;0,998420221
13:00;0,992326789
13:15;0,980365606
13:30;0,964116452
13:45;0,946061837
14:00;0,928232905
14:15;0,912660799
14:30;0,900925299
14:45;0,893929135
15:00;0,892575039
15:15;0,748325437
15:30;0,732233295
15:45;0,701846104
16:00;0,663290312
16:15;0,621630453
16:30;0,576784839
16:45;0,52777324
17:00;0,47304362
17:15;0,412759353
17:30;0,35075968
17:45;0,29235419
18:00;0,242689103
18:15;0,205521974
18:30;0,178810652
18:45;0,15945107
19:00;0,143767358
19:15;0,129308936
19:30;0,116157491
19:45;0,104803137
20:00;0,095899363
20:15;0,089772913
20:30;0,085770299
20:45;0,082992975
21:00;0,080460709
21:15;0,077356641
21:30;0,073925829
21:45;0,070658389
22:00;0,068044437
22:15;0,066083973
22:30;0,064940369
22:45;0,064123509
23:00;0,063388335
23:15;0,062489789
23:30;0,061346185
23:45;0,060120895
