,temp_air,ghi,gni,dhi,wind_speed
2022-01-01 00:00:00,25.54,0.0,-0.0,0.0,1.28
2022-01-01 01:00:00,24.84,0.0,-0.0,0.0,1.25
2022-01-01 02:00:00,24.13,0.0,-0.0,0.0,1.22
2022-01-01 03:00:00,23.42,0.0,-0.0,0.0,1.18
2022-01-01 04:00:00,22.72,0.0,-0.0,0.0,1.15
2022-01-01 05:00:00,22.01,0.0,-0.0,0.0,1.12
2022-01-01 06:00:00,21.31,0.0,-0.0,0.0,1.09
2022-01-01 07:00:00,20.6,53.0,61.22,41.0,1.05
2022-01-01 08:00:00,24.38,203.0,115.18,155.0,1.03
2022-01-01 09:00:00,25.44,350.0,138.56,266.0,1.93
2022-01-01 10:00:00,26.67,449.0,121.07,358.0,2.28
2022-01-01 11:00:00,27.78,800.0,613.26,283.0,1.93
2022-01-01 12:00:00,28.21,756.0,402.67,404.0,1.45
2022-01-01 13:00:00,28.9,699.0,319.14,430.0,1.45
2022-01-01 14:00:00,29.35,759.0,620.19,293.0,1.59
2022-01-01 15:00:00,29.21,638.0,676.72,228.0,1.66
2022-01-01 16:00:00,28.88,40.0,0.0,40.0,1.72
2022-01-01 17:00:00,27.6,32.0,0.0,32.0,0.97
2022-01-01 18:00:00,26.75,0.0,-0.0,0.0,0.62
2022-01-01 19:00:00,25.57,0.0,-0.0,0.0,0.97
2022-01-01 20:00:00,24.83,0.0,-0.0,0.0,1.03
2022-01-01 21:00:00,24.23,0.0,-0.0,0.0,1.38
2022-01-01 22:00:00,23.85,0.0,-0.0,0.0,1.17
2022-01-01 23:00:00,23.49,0.0,-0.0,0.0,1.17
2022-01-02 00:00:00,23.13,0.0,-0.0,0.0,0.9
2022-01-02 01:00:00,23.1,0.0,-0.0,0.0,0.21
2022-01-02 02:00:00,22.3,0.0,-0.0,0.0,0.28
2022-01-02 03:00:00,22.06,0.0,-0.0,0.0,0.48
2022-01-02 04:00:00,21.84,0.0,-0.0,0.0,0.48
2022-01-02 05:00:00,21.83,0.0,-0.0,0.0,0.62
2022-01-02 06:00:00,21.9,0.0,-0.0,0.0,0.97
2022-01-02 07:00:00,22.17,56.0,77.09,41.0,0.97
2022-01-02 08:00:00,22.37,277.0,360.91,127.0,1.1
2022-01-02 09:00:00,23.32,512.0,561.47,172.0,1.38
2022-01-02 10:00:00,25.49,701.0,652.1,211.0,1.93
2022-01-02 11:00:00,27.58,846.0,743.52,219.0,1.79
2022-01-02 12:00:00,29.3,911.0,774.96,233.0,1.66
2022-01-02 13:00:00,30.53,896.0,778.38,239.0,1.38
2022-01-02 14:00:00,31.37,814.0,783.61,224.0,1.17
2022-01-02 15:00:00,31.75,661.0,758.62,200.0,0.97
2022-01-02 16:00:00,31.71,457.0,702.96,163.0,0.69
2022-01-02 17:00:00,30.67,225.0,597.51,107.0,0.34
2022-01-02 18:00:00,29.47,0.0,-0.0,0.0,1.24
2022-01-02 19:00:00,27.66,0.0,-0.0,0.0,1.66
2022-01-02 20:00:00,25.67,0.0,-0.0,0.0,1.45
2022-01-02 21:00:00,25.17,0.0,-0.0,0.0,1.72
2022-01-02 22:00:00,24.09,0.0,-0.0,0.0,1.66
2022-01-02 23:00:00,23.52,0.0,-0.0,0.0,1.66
2022-01-03 00:00:00,22.92,0.0,-0.0,0.0,1.45
2022-01-03 01:00:00,22.53,0.0,-0.0,0.0,1.38
2022-01-03 02:00:00,22.14,0.0,-0.0,0.0,1.38
2022-01-03 03:00:00,21.68,0.0,-0.0,0.0,1.1
2022-01-03 04:00:00,21.81,0.0,-0.0,0.0,0.76
2022-01-03 05:00:00,22.28,0.0,-0.0,0.0,0.55
2022-01-03 06:00:00,22.12,0.0,-0.0,0.0,0.69
2022-01-03 07:00:00,22.78,54.0,72.47,40.0,0.14
2022-01-03 08:00:00,23.05,282.0,385.95,122.0,0.41
2022-01-03 09:00:00,23.81,502.0,530.66,181.0,0.48
2022-01-03 10:00:00,26.0,700.0,650.93,211.0,0.48
2022-01-03 11:00:00,28.27,855.0,770.52,205.0,0.76
2022-01-03 12:00:00,29.95,916.0,790.26,224.0,1.17
2022-01-03 13:00:00,31.08,907.0,808.02,224.0,1.17
2022-01-03 14:00:00,31.79,824.0,813.77,210.0,1.03
2022-01-03 15:00:00,32.11,656.0,731.71,210.0,0.83
