;Annual energy supply [kWh/a];Lifetime energy supply [kWh];Lifetime cost [US$];Investment cost [US$];Annual cost [US$/a];LCOE [US$/kWh];Lifetime CO2 emissions [t];Initial CO2 emissions [t];Annual CO2 emissions [t/a]
PV_to_storage;348450,0;5339577,0;;;;;;;
PV_to_electrolyser;2419178,0;37070997,0;;;;;;;
PV_Total;3763764,0;57675163,0;;;;;;;
PV_1;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_2;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_3;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_4;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_5;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_6;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_7;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_8;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_9;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_10;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_11;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_12;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_13;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_14;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_15;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_16;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_17;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_18;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_19;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_20;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_21;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_22;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_23;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_24;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_25;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_26;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_27;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_28;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_29;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_30;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_31;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_32;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_33;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_34;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
PV_35;107536,0;1647860,0;76054,0;66767,0;606,0;0,05;46,0;46,0;0,0
ES_1;347706,0;5328176,0;1057507,0;815363,0;15801,83;0,2;152,0;152,695;0,0
ES_1_charge;348450,0;5339577,0;;;;;;;
ES_1_discharge;347706,0;5328176,0;;;;;;;
Electrolyser_1;2409821,4227100005;36927619,0;3293246,0;2855506,0;28566,0;0,09;49,0;49,883;0,0
FuelCell_1;859445,0;13169962,0;3282108,0;3282108,0;0,0;0,25;23,0;23,214;0,0
System;3010347,0;46129952,0;10599801,0;9594872,0;65577,83;0,23;1858,0;1859,792;0,0
PV_to_load;996135,0;15264572,0;;;;;;;
H2_Storage 1;;;305050,0;305050,0;0,0;;24,0;24,0;0,0
