;temp_air;relative_humidity;ghi;dni;dhi;IR(h);wind_speed;wind_direction;pressure;precipitable_water
2025-01-01 00:00:00;27,73;72,26;0,0;0,0;0,0;418,85;1,54;86,0;100270,0;0,1
2025-01-01 01:00:00;27,2;74,75;0,0;0,0;0,0;416,37;1,51;88,0;100380,0;0,1
2025-01-01 02:00:00;26,67;77,24;0,0;0,0;0,0;413,9;1,49;87,0;100480,0;0,1
2025-01-01 03:00:00;26,14;79,73;0,0;0,0;0,0;411,42;1,47;83,0;100520,0;0,1
2025-01-01 04:00:00;25,6;82,23;0,0;0,0;0,0;408,94;1,45;87,0;100500,0;0,1
2025-01-01 05:00:00;25,07;84,72;0,0;0,0;0,0;406,46;1,42;90,0;100390,0;0,1
2025-01-01 06:00:00;24,54;87,21;0,0;0,0;0,0;403,98;1,4;91,0;100300,0;0,1
2025-01-01 07:00:00;24,01;89,7;0,0;0,0;0,0;401,51;1,38;77,0;100190,0;0,1
2025-01-01 08:00:00;24,82;84,4;0,0;0,0;0,0;395,55;1,66;69,0;100170,0;0,1
2025-01-01 09:00:00;24,45;87,2;0,0;0,0;0,0;396,35;1,72;62,0;100200,0;0,1
2025-01-01 10:00:00;24,16;87,2;0,0;0,0;0,0;394,8;1,66;54,0;100270,0;0,1
2025-01-01 11:00:00;24,23;87,2;155,0;466,25;61,0;392,65;1,24;43,0;100350,0;0,1
2025-01-01 12:00:00;25,82;79,15;342,0;417,39;163,0;401,55;1,1;33,0;100430,0;0,1
2025-01-01 13:00:00;27,69;69,65;625,0;803,48;120,0;407,4;1,31;27,0;100490,0;0,1
2025-01-01 14:00:00;29,4;65,4;789,0;786,55;170,0;409,1;1,59;25,0;100480,0;0,1
2025-01-01 15:00:00;30,78;59,55;961,0;945,76;116,0;416,3;1,66;20,0;100460,0;0,1
2025-01-01 16:00:00;31,83;52,4;1036,0;999,26;96,0;418,8;1,86;10,0;100340,0;0,1
2025-01-01 17:00:00;32,37;49,15;973,0;892,52;147,0;424,8;2,14;0,0;100180,0;0,1
2025-01-01 18:00:00;32,57;47,5;791,0;599,66;282,0;426,75;2,21;353,0;100040,0;0,1
2025-01-01 19:00:00;32,27;45,95;579,0;372,93;312,0;425,0;1,72;354,0;99970,0;0,1
2025-01-01 20:00:00;32,06;49,0;378,0;244,43;247,0;428,1;1,45;353,0;99920,0;0,1
2025-01-01 21:00:00;30,58;61,55;215,0;249,19;135,0;425,0;0,34;340,0;99920,0;0,1
2025-01-01 22:00:00;29,17;79,55;4,0;0,0;4,0;426,75;0,14;331,0;99970,0;0,1
2025-01-01 23:00:00;28,36;84,7;0,0;0,0;0,0;416,65;0,07;90,0;100000,0;0,1
2025-01-02 00:00:00;27,79;84,7;0,0;0,0;0,0;416,3;0,97;87,0;100090,0;0,1
2025-01-02 01:00:00;27,31;79,35;0,0;0,0;0,0;417,75;1,93;82,0;100190,0;0,1
2025-01-02 02:00:00;26,61;79,3;0,0;0,0;0,0;413,4;1,93;83,0;100250,0;0,1
2025-01-02 03:00:00;26,14;79,2;0,0;0,0;0,0;412,8;1,72;83,0;100280,0;0,1
2025-01-02 04:00:00;25,83;79,15;0,0;0,0;0,0;413,95;1,59;84,0;100240,0;0,1
2025-01-02 05:00:00;25,68;79,15;0,0;0,0;0,0;420,55;1,45;88,0;100170,0;0,1
2025-01-02 06:00:00;25,46;84,45;0,0;0,0;0,0;415,7;1,45;91,0;100120,0;0,1
2025-01-02 07:00:00;25,59;81,8;0,0;0,0;0,0;429,85;1,45;94,0;100060,0;0,1
2025-01-02 08:00:00;25,43;84,45;0,0;0,0;0,0;422,45;1,38;96,0;100050,0;0,1
2025-01-02 09:00:00;25,25;84,45;0,0;0,0;0,0;414,55;1,38;98,0;100080,0;0,1
2025-01-02 10:00:00;25,16;84,45;0,0;0,0;0,0;416,45;1,38;99,0;100160,0;0,1
2025-01-02 11:00:00;25,29;87,3;114,0;160,1;82,0;419,55;1,03;99,0;100240,0;0,1
2025-01-02 12:00:00;26,33;81,85;279,0;194,19;196,0;416,45;1,03;87,0;100320,0;0,1
2025-01-02 13:00:00;27,55;74,4;483,0;323,53;280,0;423,25;1,31;70,0;100360,0;0,1
2025-01-02 14:00:00;28,67;69,75;707,0;537,9;284,0;421,7;1,59;57,0;100360,0;0,1
2025-01-02 15:00:00;29,56;67,6;816,0;550,74;324,0;426,9;1,72;51,0;100330,0;0,1
2025-01-02 16:00:00;30,07;63,5;848,0;516,43;362,0;434,3;2,07;48,0;100260,0;0,1
2025-01-02 17:00:00;30,87;59,55;882,0;636,94;292,0;433,5;2,14;47,0;100120,0;0,1
2025-01-02 18:00:00;31,02;59,55;714,0;411,75;364,0;437,0;2,07;41,0;99940,0;0,1
2025-01-02 19:00:00;30,59;59,55;721,0;822,33;131,0;435,45;1,59;53,0;99910,0;0,1
2025-01-02 20:00:00;30,55;61,45;471,0;557,97;171,0;429,65;1,31;50,0;99830,0;0,1
2025-01-02 21:00:00;29,89;67,7;84,0;0,0;84,0;431,4;0,76;61,0;99800,0;0,1
2025-01-02 22:00:00;28,76;76,95;4,0;0,0;4,0;426,35;0,83;67,0;99840,0;0,1
2025-01-02 23:00:00;28,08;79,4;0,0;0,0;0,0;429,05;1,45;68,0;99920,0;0,1
2025-01-03 00:00:00;27,48;81,95;0,0;0,0;0,0;424,2;1,52;84,0;100050,0;0,1
2025-01-03 01:00:00;27,06;81,95;0,0;0,0;0,0;423,35;1,52;96,0;100160,0;0,1
2025-01-03 02:00:00;26,65;84,6;0,0;0,0;0,0;423,65;1,66;105,0;100230,0;0,1
2025-01-03 03:00:00;26,34;87,35;0,0;0,0;0,0;427,5;1,59;108,0;100270,0;0,1
2025-01-03 04:00:00;25,99;90,2;0,0;0,0;0,0;421,9;1,45;114,0;100270,0;0,1
2025-01-03 05:00:00;25,65;90,2;0,0;0,0;0,0;416,45;1,31;120,0;100190,0;0,1
2025-01-03 06:00:00;25,42;93,15;0,0;0,0;0,0;418,2;1,38;114,0;100110,0;0,1
2025-01-03 07:00:00;25,48;93,15;0,0;0,0;0,0;426,35;1,45;118,0;100010,0;0,1
2025-01-03 08:00:00;25,4;93,15;0,0;0,0;0,0;426,75;1,45;112,0;99990,0;0,1
2025-01-03 09:00:00;25,3;93,15;0,0;0,0;0,0;423,85;1,38;111,0;99970,0;0,1
2025-01-03 10:00:00;25,25;90,2;0,0;0,0;0,0;424,0;1,38;115,0;100050,0;0,1
2025-01-03 11:00:00;25,35;93,15;43,0;0,0;43,0;416,85;1,24;115,0;100120,0;0,1
2025-01-03 12:00:00;26,43;87,35;136,0;2,35;135,0;415,5;1,38;109,0;100210,0;0,1
2025-01-03 13:00:00;27,58;79,4;445,0;237,85;296,0;418,8;1,38;105,0;100260,0;0,1
2025-01-03 14:00:00;28,89;76,95;714,0;566,28;269,0;421,1;1,38;96,0;100280,0;0,1
2025-01-03 15:00:00;30,62;63,6;601,0;165,68;453,0;421,5;1,86;80,0;100250,0;0,1
2025-01-03 16:00:00;31,36;63,7;737,0;304,84;450,0;434,65;1,86;78,0;100200,0;0,1
2025-01-03 17:00:00;31,03;65,7;682,0;239,44;460,0;438,55;1,38;73,0;100040,0;0,1
2025-01-03 18:00:00;28,74;74,5;724,0;436,99;352,0;441,85;2,48;67,0;100000,0;0,1
2025-01-03 19:00:00;28,0;74,4;180,0;0,0;180,0;436,6;2,21;88,0;99930,0;0,1
2025-01-03 20:00:00;27,93;74,4;410,0;335,56;229,0;427,5;2,14;94,0;99950,0;0,1
2025-01-03 21:00:00;27,27;76,8;118,0;12,32;114,0;431,95;1,79;97,0;99940,0;0,1
2025-01-03 22:00:00;26,73;81,9;4,0;0,0;4,0;425,95;1,31;105,0;99980,0;0,1
2025-01-03 23:00:00;26,26;84,55;0,0;0,0;0,0;421,7;1,31;121,0;100050,0;0,1
2025-01-04 00:00:00;25,89;87,3;0,0;0,0;0,0;418,8;1,31;125,0;100140,0;0,1
2025-01-04 01:00:00;25,63;87,3;0,0;0,0;0,0;418,9;1,38;126,0;100230,0;0,1
2025-01-04 02:00:00;25,4;90,2;0,0;0,0;0,0;416,3;1,59;125,0;100320,0;0,1
2025-01-04 03:00:00;25,21;90,2;0,0;0,0;0,0;414,9;1,72;120,0;100340,0;0,1
2025-01-04 04:00:00;24,99;93,15;0,0;0,0;0,0;408,55;1,66;115,0;100320,0;0,1
2025-01-04 05:00:00;24,92;93,15;0,0;0,0;0,0;417,45;1,72;115,0;100250,0;0,1
2025-01-04 06:00:00;24,77;93,15;0,0;0,0;0,0;414,55;1,59;116,0;100170,0;0,1
2025-01-04 07:00:00;24,49;96,2;0,0;0,0;0,0;409,1;1,45;117,0;100060,0;0,1
2025-01-04 08:00:00;24,43;96,2;0,0;0,0;0,0;412,2;1,45;119,0;100060,0;0,1
2025-01-04 09:00:00;24,3;96,2;0,0;0,0;0,0;408,75;1,59;130,0;100120,0;0,1
2025-01-04 10:00:00;24,26;96,2;0,0;0,0;0,0;410,85;1,52;113,0;100190,0;0,1
2025-01-04 11:00:00;24,44;96,2;34,0;0,0;34,0;407,4;1,93;118,0;100270,0;0,1
2025-01-04 12:00:00;25,25;90,2;248,0;122,46;196,0;421,9;2,9;112,0;100360,0;0,1
2025-01-04 13:00:00;26,22;81,85;499,0;375,72;264,0;429,45;2,83;107,0;100430,0;0,1
2025-01-04 14:00:00;27,21;76,8;661,0;426,59;326,0;434,85;2,9;104,0;100480,0;0,1
2025-01-04 15:00:00;28,38;76,85;733,0;372,8;400,0;436,6;2,55;104,0;100470,0;0,1
2025-01-04 16:00:00;28,92;74,5;974,0;856,74;167,0;435,25;2,21;109,0;100400,0;0,1
2025-01-04 17:00:00;29,86;72,25;784,0;412,69;401,0;431,2;2,0;112,0;100320,0;0,1
2025-01-04 18:00:00;30,23;70,0;817,0;674,44;242,0;434,1;1,93;116,0;100170,0;0,1
